Id;Degree deviation;Degree;Neighbors;Connective redudancy
1103;1.05;4;3;0.25
1104;19.891;58;57;0.017
1105;1.726;6;6;0
1106;1.726;6;6;0
1107;5.873;19;18;0.053
1108;0.728;3;2;0.333
1109;1.385;5;4;0.2
1110;3.807;12;11;0.083
1113;1.161;5;4;0.2
1114;0.452;2;2;0
1115;0.728;3;2;0.333
1116;0.728;3;2;0.333
1117;0.728;3;3;0
1118;0.7;2;2;0
1119;3.149;9;9;0
1121;1.4;4;4;0
1122;1.05;3;3;0
1123;1.05;3;3;0
1124;1.75;5;5;0
1125;1.75;5;5;0
1126;2.799;8;8;0
1127;0.7;2;2;0
1128;1.4;4;4;0
1129;1.75;5;5;0
1130;0.7;2;2;0
1131;1.4;4;4;0
1132;0.7;2;2;0
1133;0.7;2;2;0
1134;1.05;3;3;0
1136;4.899;14;14;0
1138;0.7;2;2;0
1139;0.7;2;2;0
1140;3.499;10;10;0
1141;0.7;2;2;0
1142;5.599;16;16;0
1143;3.499;10;10;0
1144;0.7;2;2;0
1145;0.7;2;2;0
1146;3.149;9;9;0
1147;0.7;2;2;0
1149;5.599;16;16;0
1150;0.7;2;2;0
1151;0.7;2;2;0
1152;0.7;2;2;0
1164;4.199;12;12;0
1165;0.7;2;2;0
1166;1.05;3;3;0
1167;1.75;5;5;0
1168;0.35;1;1;0
1169;3.499;10;10;0
1170;5.249;15;15;0
1171;1.05;3;3;0
1172;0.35;1;1;0
1173;1.05;3;3;0
1174;0.35;1;1;0
1175;6.999;20;20;0
1176;3.149;9;9;0
1177;0.7;2;2;0
1178;1.05;3;3;0
1179;0.7;2;2;0
1180;0.7;2;2;0
1181;1.05;3;3;0
1182;0.7;2;2;0
1183;1.05;3;3;0
1184;7.698;22;22;0
1185;0.7;2;2;0
1186;5.599;16;16;0
1187;1.4;4;4;0
1188;0.35;1;1;0
1189;6.999;20;20;0
1190;2.449;7;7;0
1191;0.7;2;2;0
1192;0.7;2;2;0
1193;0.7;2;2;0
